Warehouse,Product,Stock Level,Reorder Level,Supplier,Last Updated,Transport Cost
WH-D,Mouse,175.0,104,Supplier-C,2025-08-31,1470
WH-E,Laptop,,102,Supplier-Y,2024-09-04,2750
WH-A,Mobile,394.0,84,Supplier-A,2024-08-31,1550
WH-E,Keyboard,322.0,154,Supplier-C,2026-02-24,1700
WH-C,Mobile,298.0,240,Supplier-X,2026-01-21,1900
WH-B,Hard Disk,524.0,264,Supplier-Y,2026-06-17,1450
WH-C,Hard Disk,337.0,140,Supplier-X,2024-12-15,1700
WH-C,SSD,150.0,214,Supplier-A,2025-06-09,7250
WH-D,Mobile,119.0,165,Supplier-Z,2025-05-27,2170
WH-E,Laptop,316.0,277,Supplier-A,2025-01-13,2900
WH-A,Keyboard,447.0,289,Supplier-B,2025-08-14,850
WH-A,SSD,,94,Supplier-C,2024-12-07,6550
WH-C,Mouse,93.0,221,Supplier-Y,2026-05-27,1350
WH-A,SSD,439.0,53,Supplier-A,2025-04-28,6650
WH-D,Mouse,,152,Supplier-X,2025-06-13,1320
WH-C,Hard Disk,25.0,154,Supplier-B,2024-10-29,1750
WH-B,Mouse,384.0,73,Supplier-Y,2025-03-19,1000
WH-B,SSD,46.0,254,Supplier-Z,2025-08-02,6850
WH-B,SSD,311.0,203,Supplier-B,2025-09-29,6700
WH-D,Laptop,274.0,299,Supplier-X,2026-02-15,2570
WH-C,Keyboard,,234,Supplier-X,2026-05-06,1400
WH-B,Mouse,293.0,124,Supplier-C,2026-04-09,1050
WH-A,SSD,569.0,299,Supplier-Y,2026-03-14,6500
WH-A,Router,258.0,141,Supplier-B,2026-05-01,1250
WH-B,Router,585.0,173,Supplier-B,2024-11-05,1500
WH-A,Printer,511.0,125,Supplier-X,2026-07-03,2620
WH-E,Laptop,568.0,259,Supplier-A,2024-08-02,2900
WH-B,Mobile,76.0,79,Supplier-A,2026-06-02,1800
WH-E,SSD,118.0,157,Supplier-C,2025-01-02,7300
WH-B,SSD,298.0,288,Supplier-Z,2024-11-08,6850
WH-D,SSD,,166,Supplier-X,2025-05-10,7070
WH-A,Tablet,113.0,212,Supplier-C,2024-08-17,1750
WH-B,Mobile,566.0,218,Supplier-Y,2025-07-04,1650
WH-C,Hard Disk,228.0,224,Supplier-Z,2024-10-30,1900
WH-C,Printer,289.0,97,Supplier-Z,2025-01-22,3420
WH-B,Mouse,326.0,131,Supplier-B,2025-11-22,950
WH-B,Printer,338.0,178,Supplier-C,2024-11-28,3020
WH-C,Keyboard,,107,Supplier-Y,2026-05-04,1500
WH-C,Monitor,61.0,67,Supplier-C,2024-11-07,2950
WH-B,Monitor,90.0,61,Supplier-B,2025-10-29,2500
WH-D,Monitor,133.0,96,Supplier-X,2024-11-22,2870
WH-C,Mobile,424.0,223,Supplier-B,2025-05-11,1950
WH-E,Printer,325.0,51,Supplier-A,2025-12-16,3620
WH-A,Monitor,,264,Supplier-Y,2025-06-28,2300
WH-A,Hard Disk,537.0,65,Supplier-X,2026-01-26,1100
WH-C,Hard Disk,136.0,206,Supplier-A,2025-02-07,1950
WH-C,Tablet,271.0,134,Supplier-Y,2025-03-06,2300
WH-A,Keyboard,293.0,110,Supplier-A,2026-01-13,1050
WH-D,Printer,25.0,87,Supplier-Y,2025-06-21,3390
WH-E,Mouse,68.0,126,Supplier-A,2025-01-31,1650
WH-A,Monitor,223.0,129,Supplier-C,2024-09-20,2350
WH-B,Hard Disk,522.0,227,Supplier-Z,2025-04-05,1550
WH-D,Laptop,209.0,179,Supplier-C,2024-08-26,2720
WH-D,Mobile,28.0,182,Supplier-C,2026-02-04,2120
WH-C,Mouse,283.0,193,Supplier-Z,2024-07-26,1450
WH-A,Monitor,81.0,110,Supplier-B,2024-11-07,2250
WH-E,Mobile,65.0,239,Supplier-Y,2026-03-01,2150
WH-B,Tablet,188.0,77,Supplier-B,2024-07-23,1900
WH-D,Laptop,144.0,113,Supplier-B,2026-04-12,2620
WH-D,Keyboard,186.0,212,Supplier-A,2026-01-30,1720
WH-D,Mouse,160.0,170,Supplier-C,2025-05-03,1470
WH-D,Tablet,595.0,258,Supplier-Y,2026-04-27,2370
WH-B,Keyboard,97.0,113,Supplier-A,2025-05-28,1300
WH-B,Monitor,452.0,187,Supplier-Y,2025-12-28,2550
WH-A,Tablet,55.0,223,Supplier-B,2026-03-23,1650
WH-A,Monitor,314.0,190,Supplier-Z,2025-08-03,2400
WH-D,Mouse,159.0,258,Supplier-A,2025-06-09,1570
WH-E,SSD,461.0,279,Supplier-X,2025-03-09,7150
WH-C,Mobile,73.0,145,Supplier-B,2025-05-15,1950
WH-C,Printer,451.0,267,Supplier-C,2025-06-12,3370
WH-C,Monitor,573.0,135,Supplier-Z,2025-12-06,3000
WH-C,Printer,406.0,272,Supplier-A,2025-07-29,3470
WH-B,Hard Disk,440.0,109,Supplier-A,2025-12-14,1600
WH-D,Printer,268.0,185,Supplier-B,2026-05-26,3340
WH-B,Hard Disk,390.0,184,Supplier-X,2025-09-26,1350
WH-E,Tablet,191.0,218,Supplier-B,2024-09-02,2400
WH-A,Hard Disk,404.0,80,Supplier-B,2024-12-30,1150
WH-C,Keyboard,32.0,167,Supplier-B,2025-03-04,1450
WH-E,Printer,213.0,288,Supplier-A,2026-03-11,3620
WH-A,SSD,122.0,213,Supplier-Y,2024-07-05,6500
WH-A,SSD,243.0,171,Supplier-Y,2024-07-08,6500
WH-E,Keyboard,,256,Supplier-A,2025-05-21,1800
WH-E,Keyboard,295.0,216,Supplier-Z,2025-06-27,1750
WH-C,Printer,504.0,148,Supplier-Z,2024-10-01,3420
WH-B,Printer,502.0,248,Supplier-B,2025-01-03,2920
WH-D,Keyboard,581.0,109,Supplier-B,2025-11-15,1520
WH-B,Laptop,340.0,142,Supplier-Z,2025-10-18,2350
WH-C,Keyboard,,80,Supplier-Z,2024-08-26,1600
WH-E,SSD,576.0,196,Supplier-X,2026-06-07,7150
WH-D,SSD,476.0,117,Supplier-X,2025-06-03,7070
WH-A,Monitor,294.0,256,Supplier-X,2025-10-05,2200
WH-E,Tablet,101.0,125,Supplier-B,2025-09-24,2400
WH-A,Printer,468.0,173,Supplier-B,2024-12-16,2670
WH-C,Tablet,168.0,50,Supplier-B,2025-11-12,2250
WH-A,Mouse,410.0,171,Supplier-C,2025-05-27,800
WH-D,Mouse,60.0,84,Supplier-C,2025-08-26,1470
WH-E,Mobile,499.0,147,Supplier-A,2025-07-31,2300
WH-C,Router,,226,Supplier-X,2024-11-28,1800
WH-B,Mobile,318.0,102,Supplier-X,2024-07-25,1550
WH-D,Tablet,307.0,69,Supplier-Y,2025-02-04,2370
WH-B,Tablet,225.0,180,Supplier-Z,2026-05-05,2050
WH-E,Printer,178.0,113,Supplier-Y,2024-08-17,3470
WH-D,SSD,397.0,121,Supplier-C,2024-10-13,7220
WH-B,Monitor,137.0,263,Supplier-B,2025-08-20,2500
WH-B,Tablet,563.0,274,Supplier-B,2025-02-16,1900
WH-D,SSD,534.0,138,Supplier-A,2025-04-27,7320
WH-A,Printer,550.0,95,Supplier-Y,2025-11-09,2720
WH-A,Mobile,458.0,162,Supplier-Y,2026-01-03,1400
WH-B,Laptop,60.0,143,Supplier-Z,2025-09-05,2350
WH-A,Mouse,71.0,60,Supplier-X,2026-01-25,650
WH-C,Printer,106.0,202,Supplier-Y,2025-04-20,3320
WH-A,Tablet,,205,Supplier-C,2025-07-31,1750
WH-E,Laptop,69.0,203,Supplier-A,2026-04-26,2900
WH-A,SSD,292.0,215,Supplier-Y,2025-01-11,6500
WH-B,Printer,305.0,121,Supplier-Z,2025-04-10,3070
WH-B,Monitor,152.0,274,Supplier-C,2025-05-26,2600
WH-D,Mouse,215.0,187,Supplier-X,2025-01-11,1320
WH-A,Router,49.0,227,Supplier-Y,2025-09-06,1300
WH-C,Tablet,330.0,67,Supplier-A,2025-05-28,2450
WH-D,Mouse,176.0,115,Supplier-C,2025-10-12,1470
WH-A,Tablet,544.0,164,Supplier-A,2024-10-14,1850
WH-E,Hard Disk,187.0,233,Supplier-C,2026-06-22,2000
WH-A,Monitor,85.0,151,Supplier-Y,2025-07-02,2300
WH-D,Mouse,532.0,168,Supplier-A,2025-12-01,1570
WH-E,Mobile,108.0,251,Supplier-Z,2026-06-16,2250
WH-D,Router,,142,Supplier-B,2024-09-21,1920
WH-C,Monitor,269.0,121,Supplier-X,2026-02-26,2800
WH-B,Router,191.0,115,Supplier-C,2025-01-29,1600
WH-E,Mobile,,285,Supplier-B,2026-06-25,2100
WH-E,Printer,49.0,249,Supplier-Y,2024-07-05,3470
WH-A,Mobile,155.0,104,Supplier-B,2025-10-15,1350
WH-B,Printer,510.0,234,Supplier-Z,2026-02-28,3070
WH-E,Keyboard,214.0,292,Supplier-Y,2025-04-03,1650
WH-E,Monitor,415.0,191,Supplier-Z,2026-03-23,3150
WH-B,Mobile,176.0,115,Supplier-Y,2025-08-17,1650
WH-B,Printer,419.0,92,Supplier-X,2024-11-01,2870
WH-C,Monitor,148.0,294,Supplier-C,2026-01-20,2950
WH-E,Keyboard,276.0,296,Supplier-C,2026-05-22,1700
WH-A,Hard Disk,,185,Supplier-Z,2024-10-30,1300
WH-B,Hard Disk,582.0,267,Supplier-X,2025-09-11,1350
WH-A,Hard Disk,58.0,93,Supplier-B,2026-06-05,1150
WH-E,Router,467.0,285,Supplier-C,2025-11-28,2100
WH-C,Tablet,,284,Supplier-A,2024-10-05,2450
WH-A,SSD,170.0,280,Supplier-B,2025-10-10,6450
WH-D,Tablet,25.0,170,Supplier-C,2024-08-18,2420
WH-B,Monitor,397.0,56,Supplier-A,2026-01-21,2700
WH-A,Router,530.0,137,Supplier-Y,2024-12-15,1300
WH-B,Tablet,438.0,69,Supplier-B,2025-06-25,1900
WH-B,Printer,296.0,237,Supplier-Y,2026-04-19,2970
WH-D,Hard Disk,427.0,245,Supplier-C,2025-01-10,1920
WH-E,Router,181.0,285,Supplier-B,2024-09-21,2000
WH-E,Keyboard,446.0,103,Supplier-C,2024-09-26,1700
WH-A,Keyboard,410.0,192,Supplier-Y,2024-12-22,900
WH-B,Laptop,136.0,290,Supplier-Z,2024-12-16,2350
WH-C,Mobile,52.0,269,Supplier-C,2025-02-22,2050
WH-A,Hard Disk,58.0,186,Supplier-Y,2026-03-05,1200
WH-B,Keyboard,55.0,164,Supplier-Z,2025-01-27,1250
WH-C,Laptop,396.0,134,Supplier-C,2026-01-16,2650
WH-E,Printer,161.0,106,Supplier-Z,2024-09-14,3570
WH-E,Tablet,114.0,189,Supplier-A,2026-02-07,2600
WH-C,Tablet,202.0,216,Supplier-C,2026-02-20,2350
WH-C,SSD,89.0,294,Supplier-Y,2026-05-28,7100
WH-E,Printer,430.0,181,Supplier-A,2025-09-08,3620
WH-B,Router,527.0,240,Supplier-B,2025-01-15,1500
WH-C,Mobile,96.0,200,Supplier-B,2025-12-06,1950
WH-D,Monitor,504.0,83,Supplier-B,2024-07-09,2920
WH-A,Keyboard,521.0,126,Supplier-C,2025-11-03,950
WH-A,Hard Disk,49.0,262,Supplier-C,2026-03-22,1250
WH-E,Keyboard,402.0,86,Supplier-C,2025-06-23,1700
WH-A,Router,502.0,128,Supplier-X,2024-10-01,1200
WH-D,Hard Disk,401.0,274,Supplier-Z,2025-06-30,1970
WH-C,Hard Disk,549.0,279,Supplier-C,2025-01-12,1850
WH-B,Mobile,315.0,92,Supplier-X,2026-02-02,1550
WH-A,Mouse,369.0,96,Supplier-Z,2025-08-10,850
WH-B,SSD,,88,Supplier-Y,2026-06-26,6750
WH-D,Hard Disk,108.0,163,Supplier-C,2024-07-31,1920
WH-E,Hard Disk,128.0,122,Supplier-X,2026-04-12,1850
WH-D,Printer,162.0,167,Supplier-C,2024-07-28,3440
WH-D,Hard Disk,49.0,221,Supplier-B,2024-08-16,1820
WH-C,Tablet,551.0,227,Supplier-A,2026-05-20,2450
WH-E,Keyboard,76.0,106,Supplier-X,2025-07-16,1550
WH-A,Keyboard,127.0,131,Supplier-X,2025-04-02,800
WH-E,Laptop,295.0,298,Supplier-Y,2025-04-24,2750
WH-B,Monitor,204.0,155,Supplier-B,2024-07-12,2500
WH-B,Monitor,597.0,171,Supplier-Y,2025-04-24,2550
WH-D,SSD,198.0,223,Supplier-X,2026-03-03,7070
WH-B,Keyboard,552.0,61,Supplier-X,2026-03-17,1050
WH-D,Tablet,,296,Supplier-A,2025-10-10,2520
WH-C,Laptop,402.0,63,Supplier-A,2024-08-28,2750
WH-B,Hard Disk,49.0,249,Supplier-A,2025-08-05,1600
WH-A,Hard Disk,371.0,196,Supplier-C,2025-03-04,1250
WH-B,Mouse,519.0,96,Supplier-C,2025-03-14,1050
WH-A,Tablet,431.0,153,Supplier-Z,2025-04-29,1800
WH-B,Tablet,366.0,73,Supplier-A,2024-09-05,2100
WH-A,Mouse,188.0,77,Supplier-C,2025-01-25,800
WH-D,Router,521.0,125,Supplier-B,2024-08-13,1920
WH-A,Mobile,512.0,92,Supplier-Y,2025-02-04,1400
WH-D,Mouse,,187,Supplier-B,2025-04-25,1370
WH-D,Mouse,,114,Supplier-B,2025-01-24,1370
WH-C,SSD,189.0,219,Supplier-X,2024-11-04,7000
WH-D,Keyboard,514.0,230,Supplier-B,2024-08-09,1520
WH-A,Monitor,237.0,274,Supplier-B,2025-05-27,2250
WH-B,SSD,246.0,182,Supplier-C,2026-06-27,6800
WH-D,Tablet,79.0,125,Supplier-Y,2026-02-17,2370
WH-D,Router,223.0,238,Supplier-Y,2026-05-18,1970
WH-C,Keyboard,475.0,215,Supplier-B,2026-01-17,1450
WH-D,Monitor,119.0,173,Supplier-B,2026-05-17,2920
WH-D,SSD,,256,Supplier-Y,2025-09-15,7170
WH-C,Hard Disk,354.0,294,Supplier-B,2025-09-14,1750
WH-C,Mobile,378.0,219,Supplier-B,2025-11-20,1950
WH-C,Mouse,140.0,199,Supplier-Z,2025-02-22,1450
WH-E,Printer,,273,Supplier-Z,2026-05-28,3570
WH-A,Tablet,451.0,63,Supplier-Z,2024-12-05,1800
WH-E,Tablet,325.0,283,Supplier-B,2024-12-05,2400
WH-A,SSD,567.0,138,Supplier-Y,2024-07-25,6500
WH-E,Hard Disk,329.0,259,Supplier-C,2025-10-09,2000
WH-D,SSD,375.0,213,Supplier-C,2025-10-06,7220
WH-A,Mobile,266.0,179,Supplier-A,2025-01-14,1550
WH-D,Printer,474.0,225,Supplier-A,2024-11-06,3540
WH-A,Laptop,305.0,68,Supplier-Z,2026-05-10,2100
WH-B,Router,174.0,52,Supplier-C,2025-03-15,1600
WH-D,SSD,547.0,88,Supplier-A,2024-08-12,7320
WH-A,Mouse,251.0,167,Supplier-A,2025-11-17,900
WH-C,Router,,252,Supplier-C,2025-06-22,1950
WH-B,Router,,180,Supplier-B,2026-05-31,1500
WH-D,Printer,497.0,167,Supplier-Z,2024-12-04,3490
WH-B,Monitor,303.0,239,Supplier-C,2026-03-29,2600
WH-C,SSD,373.0,68,Supplier-Y,2025-12-15,7100
WH-B,Mobile,231.0,144,Supplier-Z,2025-07-07,1750
WH-D,Monitor,440.0,91,Supplier-B,2025-08-12,2920
WH-D,Keyboard,438.0,67,Supplier-C,2026-03-22,1620
WH-E,Router,276.0,99,Supplier-Y,2025-03-23,2050
WH-E,Hard Disk,107.0,187,Supplier-A,2026-03-18,2100
WH-B,Laptop,538.0,292,Supplier-X,2025-04-13,2150
WH-A,Tablet,93.0,118,Supplier-X,2025-03-14,1600
WH-A,Tablet,315.0,155,Supplier-Z,2025-09-30,1800
WH-D,Monitor,343.0,229,Supplier-C,2025-09-24,3020
WH-C,Hard Disk,455.0,255,Supplier-C,2024-10-20,1850
WH-B,Mouse,221.0,189,Supplier-B,2025-07-22,950
WH-B,Tablet,216.0,101,Supplier-X,2024-07-28,1850
WH-C,Tablet,487.0,152,Supplier-X,2025-06-12,2200
WH-C,Mouse,451.0,121,Supplier-A,2026-01-21,1500
WH-E,Mobile,390.0,66,Supplier-C,2024-10-30,2200
WH-C,Keyboard,120.0,269,Supplier-A,2024-11-28,1650
WH-D,Laptop,40.0,263,Supplier-Y,2026-07-01,2670
WH-B,SSD,592.0,166,Supplier-A,2025-03-04,6900
WH-D,Mobile,520.0,102,Supplier-C,2024-08-20,2120
WH-B,Router,122.0,117,Supplier-Z,2025-09-27,1650
WH-C,Tablet,31.0,53,Supplier-X,2025-04-07,2200
WH-B,Router,444.0,233,Supplier-Y,2024-12-25,1550
WH-C,SSD,252.0,298,Supplier-A,2025-01-26,7250
WH-D,Monitor,268.0,201,Supplier-X,2025-12-20,2870
WH-E,Hard Disk,,208,Supplier-X,2024-09-17,1850
WH-C,Keyboard,259.0,270,Supplier-C,2025-01-25,1550
WH-C,Router,157.0,189,Supplier-C,2025-05-28,1950
WH-A,Mobile,419.0,208,Supplier-Z,2024-10-11,1500
WH-D,Laptop,397.0,187,Supplier-Z,2024-07-06,2770
WH-A,Mouse,96.0,277,Supplier-Y,2025-11-14,750
WH-D,Router,584.0,248,Supplier-Z,2026-05-27,2070
WH-E,Hard Disk,366.0,300,Supplier-Y,2026-06-03,1950
WH-E,Keyboard,390.0,208,Supplier-C,2026-01-27,1700
WH-D,Hard Disk,,141,Supplier-B,2024-07-08,1820
WH-A,Mobile,,211,Supplier-C,2026-03-24,1450
WH-E,Mouse,387.0,147,Supplier-Z,2025-05-25,1600
WH-B,Mouse,110.0,92,Supplier-Z,2025-03-15,1100
WH-D,Keyboard,373.0,243,Supplier-Y,2024-09-08,1570
WH-A,Mouse,,85,Supplier-Y,2025-11-06,750
WH-E,Router,358.0,226,Supplier-Y,2025-02-11,2050
WH-D,Mouse,106.0,113,Supplier-Y,2025-04-16,1420
WH-B,Hard Disk,528.0,260,Supplier-A,2026-03-25,1600
WH-A,Keyboard,556.0,166,Supplier-Z,2026-07-04,1000
WH-A,Tablet,110.0,287,Supplier-A,2025-03-18,1850
WH-C,Mobile,195.0,55,Supplier-A,2024-10-11,2150
WH-D,Mouse,96.0,165,Supplier-Z,2025-05-20,1520
WH-B,Hard Disk,512.0,273,Supplier-Y,2024-12-29,1450
WH-D,Tablet,402.0,241,Supplier-A,2024-12-20,2520
WH-D,Hard Disk,,124,Supplier-A,2024-10-22,2020
WH-E,SSD,341.0,265,Supplier-Z,2025-10-21,7350
WH-A,Monitor,,106,Supplier-B,2025-04-01,2250
WH-A,Monitor,583.0,152,Supplier-B,2025-05-22,2250
WH-D,Router,115.0,212,Supplier-X,2026-02-22,1870
WH-D,SSD,592.0,173,Supplier-B,2026-01-03,7120
WH-D,Mobile,115.0,72,Supplier-X,2026-06-28,1970
WH-C,Hard Disk,121.0,65,Supplier-B,2026-06-14,1750
WH-E,Printer,459.0,282,Supplier-A,2026-05-22,3620
WH-D,Monitor,410.0,80,Supplier-B,2025-03-01,2920
WH-D,Mobile,,91,Supplier-C,2025-06-07,2120
WH-A,Printer,278.0,147,Supplier-A,2025-09-19,2870
WH-E,Mobile,514.0,202,Supplier-Z,2025-08-03,2250
WH-B,Mouse,100.0,279,Supplier-B,2025-05-12,950
WH-B,Laptop,81.0,179,Supplier-Y,2025-03-05,2250
WH-C,Keyboard,456.0,164,Supplier-Z,2025-07-06,1600
WH-E,Laptop,314.0,67,Supplier-B,2025-08-18,2700
WH-A,Printer,490.0,212,Supplier-Z,2025-03-12,2820
WH-B,Router,519.0,60,Supplier-Z,2026-05-04,1650
WH-E,Tablet,83.0,259,Supplier-C,2024-11-18,2500
WH-A,Printer,74.0,68,Supplier-A,2025-11-25,2870
WH-B,Tablet,407.0,238,Supplier-C,2024-10-17,2000
WH-B,Printer,322.0,141,Supplier-B,2026-02-07,2920
WH-D,Tablet,342.0,124,Supplier-Y,2026-05-19,2370
WH-D,Router,392.0,183,Supplier-B,2026-01-08,1920
WH-D,Hard Disk,479.0,242,Supplier-Z,2025-03-23,1970
WH-B,Printer,426.0,289,Supplier-Y,2026-03-05,2970
WH-E,Mouse,521.0,267,Supplier-X,2025-12-17,1400
WH-B,Mobile,366.0,250,Supplier-A,2025-04-26,1800
WH-B,Mobile,199.0,133,Supplier-Z,2024-09-28,1750
WH-B,SSD,82.0,155,Supplier-Y,2024-08-25,6750
WH-B,Keyboard,367.0,245,Supplier-C,2025-02-27,1200
WH-D,SSD,243.0,243,Supplier-A,2024-08-18,7320
WH-C,Router,362.0,74,Supplier-C,2025-07-16,1950
WH-B,SSD,,63,Supplier-B,2024-11-12,6700
WH-E,Router,489.0,243,Supplier-Y,2026-05-19,2050
WH-D,SSD,276.0,124,Supplier-X,2025-10-09,7070
WH-E,Router,427.0,128,Supplier-Z,2024-12-17,2150
WH-C,Keyboard,589.0,229,Supplier-B,2026-04-03,1450
WH-E,Laptop,597.0,229,Supplier-C,2026-03-30,2800
WH-A,Laptop,363.0,195,Supplier-Z,2025-02-10,2100
WH-B,Hard Disk,126.0,237,Supplier-Y,2024-07-22,1450
WH-A,Router,529.0,130,Supplier-A,2025-12-01,1450
WH-A,Monitor,236.0,236,Supplier-Y,2026-02-05,2300
WH-D,Monitor,291.0,238,Supplier-Y,2025-02-20,2970
WH-A,Monitor,41.0,213,Supplier-C,2025-11-01,2350
WH-D,Laptop,153.0,284,Supplier-Z,2025-02-26,2770
WH-B,Mobile,,285,Supplier-X,2025-05-02,1550
WH-D,Mobile,66.0,267,Supplier-X,2025-11-24,1970
WH-B,Mouse,328.0,63,Supplier-B,2025-12-20,950
WH-A,SSD,53.0,172,Supplier-A,2025-05-25,6650
WH-A,Printer,239.0,159,Supplier-C,2025-01-12,2770
WH-B,Router,,203,Supplier-B,2025-01-31,1500
WH-B,Router,471.0,78,Supplier-A,2025-07-06,1700
WH-C,SSD,290.0,223,Supplier-Z,2025-07-16,7200
WH-D,Mobile,504.0,220,Supplier-B,2025-04-24,2020
WH-B,Hard Disk,429.0,194,Supplier-X,2025-09-07,1350
WH-C,Mouse,171.0,295,Supplier-C,2025-01-25,1400
WH-A,Tablet,58.0,167,Supplier-X,2025-12-26,1600
WH-E,Mouse,327.0,156,Supplier-C,2025-01-02,1550
WH-D,Mouse,357.0,147,Supplier-B,2024-11-03,1370
WH-C,Mobile,73.0,54,Supplier-A,2025-01-10,2150
WH-D,Monitor,548.0,239,Supplier-A,2026-01-05,3120
WH-D,Hard Disk,460.0,125,Supplier-B,2026-06-20,1820
WH-D,Tablet,166.0,262,Supplier-Y,2025-06-10,2370
WH-D,Mouse,117.0,299,Supplier-A,2026-03-25,1570
WH-A,Tablet,,220,Supplier-C,2025-09-27,1750
WH-E,Laptop,361.0,59,Supplier-X,2024-09-18,2650
WH-A,Tablet,591.0,109,Supplier-A,2024-07-19,1850
WH-C,Tablet,511.0,237,Supplier-C,2026-01-13,2350
WH-A,Mobile,584.0,216,Supplier-C,2025-08-19,1450
WH-D,Hard Disk,413.0,275,Supplier-B,2024-08-08,1820
WH-A,Router,236.0,292,Supplier-Y,2025-06-06,1300
WH-A,Router,224.0,125,Supplier-X,2024-12-17,1200
WH-B,Tablet,420.0,50,Supplier-C,2025-11-28,2000
WH-C,Keyboard,287.0,235,Supplier-B,2025-07-17,1450
WH-B,Mobile,424.0,249,Supplier-Z,2025-05-26,1750
WH-B,Tablet,78.0,245,Supplier-B,2026-06-19,1900
WH-C,Mouse,428.0,270,Supplier-C,2025-06-17,1400
WH-D,Tablet,255.0,147,Supplier-Y,2026-02-14,2370
WH-D,Monitor,555.0,101,Supplier-B,2024-07-04,2920
WH-D,SSD,,65,Supplier-A,2026-03-07,7320
WH-E,Monitor,307.0,279,Supplier-X,2024-08-03,2950
WH-C,Keyboard,173.0,268,Supplier-C,2025-12-07,1550
WH-E,Mouse,521.0,262,Supplier-B,2025-08-27,1450
WH-A,Tablet,509.0,103,Supplier-B,2024-11-10,1650
WH-B,Laptop,351.0,252,Supplier-Z,2025-10-20,2350
WH-C,Mouse,30.0,116,Supplier-A,2025-11-30,1500
WH-D,Keyboard,549.0,235,Supplier-B,2026-02-28,1520
WH-A,Tablet,359.0,177,Supplier-X,2025-03-06,1600
WH-A,SSD,350.0,127,Supplier-Y,2024-08-20,6500
WH-D,Printer,510.0,164,Supplier-X,2025-08-18,3290
WH-E,Keyboard,,175,Supplier-Y,2025-06-26,1650
WH-B,Router,395.0,259,Supplier-Z,2025-11-20,1650
WH-B,Tablet,29.0,88,Supplier-C,2025-07-18,2000
WH-C,SSD,406.0,114,Supplier-B,2026-04-30,7050
WH-A,Laptop,430.0,83,Supplier-Y,2026-03-19,2000
WH-E,Mouse,67.0,170,Supplier-A,2025-06-18,1650
WH-B,Tablet,61.0,181,Supplier-C,2025-01-09,2000
WH-C,Keyboard,467.0,84,Supplier-Z,2024-12-27,1600
WH-A,Laptop,,211,Supplier-B,2026-04-10,1950
WH-E,Tablet,371.0,268,Supplier-B,2025-06-12,2400
WH-C,Monitor,424.0,275,Supplier-A,2025-06-01,3050
WH-E,Printer,502.0,189,Supplier-Z,2024-08-05,3570
WH-A,Monitor,313.0,242,Supplier-Z,2025-11-05,2400
WH-B,Hard Disk,20.0,127,Supplier-B,2024-09-03,1400
WH-B,Tablet,130.0,173,Supplier-C,2025-04-11,2000
WH-D,Hard Disk,284.0,139,Supplier-B,2025-12-19,1820
WH-C,Hard Disk,501.0,245,Supplier-X,2025-10-01,1700
WH-D,Mobile,560.0,221,Supplier-Z,2025-01-31,2170
WH-C,Laptop,245.0,191,Supplier-B,2025-02-05,2550
WH-B,Printer,273.0,238,Supplier-X,2026-04-22,2870
WH-B,Mobile,177.0,292,Supplier-A,2026-02-11,1800
WH-D,Router,443.0,157,Supplier-C,2024-08-26,2020
WH-E,Laptop,25.0,149,Supplier-Y,2025-05-16,2750
WH-C,Hard Disk,407.0,195,Supplier-B,2026-02-07,1750
WH-E,Hard Disk,57.0,246,Supplier-A,2026-06-08,2100
WH-D,SSD,556.0,56,Supplier-X,2026-06-18,7070
WH-C,Printer,521.0,84,Supplier-C,2025-04-24,3370
WH-D,Tablet,592.0,220,Supplier-A,2025-04-13,2520
WH-D,Mobile,475.0,201,Supplier-Y,2024-08-31,2070
WH-A,Printer,453.0,273,Supplier-Z,2024-09-28,2820
WH-E,Hard Disk,127.0,85,Supplier-C,2025-09-02,2000
WH-D,Keyboard,265.0,63,Supplier-C,2024-10-27,1620
WH-C,Printer,,215,Supplier-B,2024-08-07,3270
WH-B,Tablet,575.0,189,Supplier-C,2024-12-09,2000
WH-A,Router,84.0,220,Supplier-C,2025-01-23,1350
WH-B,Mobile,185.0,108,Supplier-C,2024-08-22,1700
WH-B,Printer,,143,Supplier-B,2025-06-21,2920
WH-C,Router,239.0,115,Supplier-C,2024-08-18,1950
WH-A,Laptop,,87,Supplier-A,2026-05-23,2150
WH-A,SSD,507.0,154,Supplier-Y,2025-01-25,6500
WH-B,SSD,189.0,268,Supplier-A,2025-11-27,6900
WH-E,Keyboard,503.0,278,Supplier-B,2025-09-02,1600
WH-C,Mobile,387.0,144,Supplier-C,2024-09-24,2050
WH-A,Tablet,179.0,158,Supplier-C,2025-02-02,1750
WH-A,SSD,432.0,190,Supplier-Y,2025-02-09,6500
WH-C,Tablet,,65,Supplier-Z,2026-04-02,2400
WH-B,Printer,549.0,84,Supplier-A,2024-12-21,3120
WH-D,Router,386.0,154,Supplier-Z,2024-11-20,2070
WH-A,Mobile,,264,Supplier-C,2025-10-25,1450
WH-E,Mobile,441.0,296,Supplier-Y,2025-02-03,2150
WH-D,Keyboard,182.0,244,Supplier-Y,2025-12-27,1570
WH-A,Hard Disk,568.0,251,Supplier-X,2025-08-05,1100
WH-D,Keyboard,553.0,265,Supplier-Y,2025-04-05,1570
WH-D,Keyboard,281.0,117,Supplier-B,2024-10-26,1520
WH-D,Printer,,148,Supplier-A,2025-09-07,3540
WH-A,Keyboard,213.0,182,Supplier-Y,2025-09-06,900
